filename	subfolder	en	am	artist
Borna-0023.png	BenishangulGumuz	garbage,trash,litter,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0024.png	BenishangulGumuz	man,sick,bed,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0025.png	BenishangulGumuz	doctor,hospital,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0026.png	BenishangulGumuz	cleaning,garbage,trash,disposal,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0027.png	BenishangulGumuz	women,spinning,thread,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0028.png	BenishangulGumuz	family,sad,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0029.png	BenishangulGumuz	women,sitting,talking,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0030.png	BenishangulGumuz	factory,smoke,pollution,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0031.png	BenishangulGumuz	woman,girl,alone,lonely,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0032.png	BenishangulGumuz	beehives,honey,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0033.png	BenishangulGumuz	outhouse,lavatory,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0034.png	BenishangulGumuz	corn,maize,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0035.png	BenishangulGumuz	diarrhea,defecate,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0036.png	BenishangulGumuz	watches,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0037.png	BenishangulGumuz	family,happy,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0038.png	BenishangulGumuz	cleaning,sweeping,garbage,building,outhouse,sanitation,Ethiopia,BenishangulGumuz		
Borna-0039.png	BenishangulGumuz	grain,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0040.png	BenishangulGumuz	sick,ill,diarrhea,fever,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0041.png	BenishangulGumuz	woman,bath,wash,hair,clean,hygiene,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0042.png	BenishangulGumuz	chicken,rooster,eggs,meat,poultry,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0043.png	BenishangulGumuz	chickens,coop,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0044.png	BenishangulGumuz	measurement,ruler,scale,measuring,tape,Ethiopia,BenishangulGumuz		
Borna-0045.png	BenishangulGumuz	scale,weigh,measurement,measuring,weight,Ethiopia,BenishangulGumuz		
Borna-0046.png	BenishangulGumuz	woman,sitting,old,man,bench,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0047.png	BenishangulGumuz	vegetables,lettuce,tomatoes,carrots,onions,potatoes,cabbage,Ethiopia,BenishangulGumuz		
Borna-0048.png	BenishangulGumuz	hut,roof,thatch,build,house,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0049.png	BenishangulGumuz	forest,birds,nests,weaver,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0050.png	BenishangulGumuz	men,women,reaching,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0051.png	BenishangulGumuz	cell,phone,mobile,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0052.png	BenishangulGumuz	farming,planting,weeding,agriculture,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Borna-0053.png	BenishangulGumuz	farming,weeding,threshing,agriculture,Ethiopia,Borna,Shinasha,BenishangulGumuz		
Dirasha-0001.png	Segen	boy,girl,bowl,food,eating,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0002.png	Segen	woman,cooking,girl,boy,watching,firewood,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0003.png	Segen	boys,running,spear,forest,goat,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0004.png	Segen	boys,music,panpipes,playing,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0005.png	Segen	boy,girl,stools,table,sitting,eating,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0006.png	Segen	boys,basket,harvesting,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0007.png	Segen	woman,sitting,girl,boy,watching,talking,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0008.png	Segen	boy,woman,firewood,stacking,storage,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0009.png	Segen	girl,sitting,grain,huts,yard,compound,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0010.png	Segen	boys,ground,sitting,playing,drinking,pot,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0011.png	Segen	donkeys,boy,pole,tie,tether,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0012.png	Segen	girl,spitting,classroom,school,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0013.png	Segen	boy,sitting,body,washing,girl,standing,hair,washing,clothes,drying,Ethiopia,Dirasha,Segen		Senait Worku
